380,0.2373,0.3123,0.3758,0.4663,0.5013,0.5316
385,0.2634,0.3387,0.3996,0.4823,0.5135,0.5405
390,0.2895,0.3651,0.4233,0.4983,0.5258,0.5495
395,0.3838,0.4747,0.5405,0.6185,0.646,0.6692
400,0.478,0.5843,0.6577,0.7388,0.7662,0.789
405,0.5129,0.6208,0.6948,0.7761,0.8036,0.8267
410,0.5479,0.6573,0.7319,0.8134,0.8411,0.8645
415,0.565,0.6718,0.7433,0.819,0.8445,0.866
420,0.5821,0.6863,0.7546,0.8247,0.8479,0.8675
425,0.5713,0.6688,0.7309,0.7918,0.8114,0.828
430,0.5606,0.6513,0.7072,0.7589,0.775,0.7884
435,0.6431,0.7361,0.7895,0.8314,0.8431,0.8526
440,0.7256,0.821,0.8718,0.904,0.9112,0.9168
445,0.7859,0.8805,0.9279,0.9518,0.9556,0.9584
450,0.8461,0.9399,0.9839,0.9996,1,1
455,0.8625,0.9518,0.9913,0.9998,0.9976,0.9954
460,0.8788,0.9637,0.9987,1,0.9951,0.9907
465,0.8825,0.9611,0.9905,0.9839,0.9762,0.9694
470,0.8862,0.9584,0.9824,0.9679,0.9573,0.9482
475,0.9044,0.972,0.9912,0.9689,0.9554,0.9438
480,0.9226,0.9856,1,0.9699,0.9534,0.9394
485,0.9073,0.9633,0.9728,0.9375,0.9195,0.9043
490,0.8921,0.941,0.9456,0.9052,0.8856,0.8693
495,0.9104,0.9535,0.9526,0.9037,0.8812,0.8623
500,0.9286,0.966,0.9596,0.9023,0.8767,0.8554
505,0.933,0.9661,0.956,0.8934,0.8659,0.843
510,0.9373,0.9662,0.9524,0.8844,0.855,0.8306
515,0.9398,0.9628,0.9438,0.8683,0.8361,0.8093
520,0.9424,0.9594,0.9352,0.8521,0.8171,0.7881
525,0.9665,0.9797,0.9513,0.8613,0.8239,0.7927
530,0.9906,1,0.9674,0.8706,0.8306,0.7974
535,0.9841,0.9899,0.9549,0.8557,0.815,0.7813
540,0.9776,0.9798,0.9424,0.8407,0.7994,0.7652
545,0.9852,0.984,0.9435,0.8372,0.7942,0.7586
550,0.9928,0.9882,0.9445,0.8336,0.789,0.7521
555,0.9816,0.9739,0.9284,0.8157,0.7705,0.7333
560,0.9704,0.9597,0.9123,0.7977,0.7521,0.7145
565,0.9594,0.9464,0.8975,0.7816,0.7356,0.6977
570,0.9484,0.933,0.8827,0.7655,0.7192,0.681
575,0.9542,0.9356,0.8825,0.7616,0.7139,0.6746
580,0.9599,0.9382,0.8823,0.7576,0.7086,0.6683
585,0.9337,0.9079,0.8512,0.7288,0.6815,0.6428
590,0.9074,0.8776,0.82,0.7001,0.6544,0.6172
595,0.9277,0.8919,0.8294,0.703,0.6552,0.6166
600,0.9481,0.9063,0.8388,0.7059,0.6561,0.616
605,0.9558,0.9098,0.8392,0.7027,0.652,0.6112
610,0.9635,0.9133,0.8396,0.6996,0.648,0.6065
615,0.9624,0.9089,0.8329,0.6906,0.6383,0.5965
620,0.9613,0.9045,0.8263,0.6816,0.6287,0.5864
625,0.9452,0.8864,0.8075,0.6631,0.6105,0.5686
630,0.9291,0.8683,0.7886,0.6446,0.5924,0.5507
635,0.9444,0.8773,0.7933,0.6445,0.5912,0.5488
640,0.9596,0.8864,0.798,0.6445,0.59,0.5469
645,0.9442,0.8697,0.7814,0.6298,0.5763,0.5342
650,0.9287,0.8531,0.7649,0.6152,0.5627,0.5215
655,0.941,0.8601,0.7682,0.6144,0.5609,0.519
660,0.9532,0.8671,0.7715,0.6137,0.5591,0.5166
665,0.9766,0.8846,0.7841,0.6198,0.5633,0.5193
670,1,0.9021,0.7966,0.6259,0.5674,0.522
675,0.9812,0.8829,0.7783,0.6102,0.553,0.5086
680,0.9625,0.8637,0.7599,0.5945,0.5385,0.4952
685,0.9054,0.8144,0.7176,0.5623,0.5094,0.4684
690,0.8483,0.765,0.6753,0.5301,0.4804,0.4417
695,0.8688,0.7802,0.6864,0.5361,0.485,0.4454
700,0.8894,0.7954,0.6974,0.5421,0.4896,0.449
705,0.8956,0.805,0.7086,0.5537,0.5008,0.4598
710,0.9018,0.8146,0.7198,0.5653,0.5121,0.4706
715,0.824,0.7445,0.658,0.5169,0.4684,0.4305
720,0.7461,0.6744,0.5962,0.4686,0.4246,0.3904
725,0.793,0.7179,0.6355,0.5006,0.454,0.4176
730,0.8399,0.7614,0.6749,0.5325,0.4833,0.4449
735,0.8693,0.7887,0.6996,0.5526,0.5018,0.462
740,0.8988,0.816,0.7243,0.5727,0.5202,0.4792
745,0.8291,0.7531,0.6686,0.529,0.4807,0.4428
750,0.7595,0.6901,0.613,0.4853,0.4411,0.4065
755,0.6598,0.5985,0.5308,0.4194,0.3808,0.3507
760,0.5601,0.5069,0.4487,0.3534,0.3206,0.295
765,0.6826,0.6179,0.5471,0.4311,0.3911,0.3599
770,0.805,0.729,0.6456,0.5088,0.4616,0.4247
775,0.7825,0.7093,0.6286,0.496,0.4502,0.4144
780,0.7599,0.6895,0.6117,0.4832,0.4388,0.404